location,Month-Year,new_cases
Afghanistan,Feb-20,5
Afghanistan,Mar-20,163
Afghanistan,Apr-20,1661
Afghanistan,May-20,13353
Afghanistan,Jun-20,16265
Afghanistan,Jul-20,5183
Afghanistan,Aug-20,1620
Afghanistan,Sep-20,1106
Afghanistan,Oct-20,1980
Afghanistan,Nov-20,4881
Afghanistan,Dec-20,6115
Afghanistan,Jan-21,2693
Afghanistan,Feb-21,691
Afghanistan,Mar-21,740
Afghanistan,Apr-21,3291
Afghanistan,May-21,12093
Afghanistan,Jun-21,46821
Afghanistan,Jul-21,28495
Afghanistan,Aug-21,6066
Afghanistan,Sep-21,1954
Afghanistan,Oct-21,1076
Afghanistan,Nov-21,1039
Afghanistan,Dec-21,795
Afghanistan,Jan-22,4848
Afghanistan,Feb-22,10733
Afghanistan,Mar-22,4088
Afghanistan,Apr-22,1132
Afghanistan,May-22,1468
Afghanistan,Jun-22,2181
Afghanistan,Jul-22,3221
Afghanistan,Aug-22,7501
Afghanistan,Sep-22,5938
Afghanistan,Oct-22,3875
Afghanistan,Nov-22,2844
Afghanistan,Dec-22,1652
Afghanistan,Jan-23,986
Afghanistan,Feb-23,7
Africa,Feb-20,3
Africa,Mar-20,5764
Africa,Apr-20,32993
Africa,May-20,108124
Africa,Jun-20,258340
Africa,Jul-20,523189
Africa,Aug-20,324253
Africa,Sep-20,229702
Africa,Oct-20,303545
Africa,Nov-20,388843
Africa,Dec-20,586170
Africa,Jan-21,809148
Africa,Feb-21,327680
Africa,Mar-21,319961
Africa,Apr-21,340423
Africa,May-21,282686
Africa,Jun-21,664182
Africa,Jul-21,1204828
Africa,Aug-21,1081053
Africa,Sep-21,520504
Africa,Oct-21,193779
Africa,Nov-21,164029
Africa,Dec-21,1069150
Africa,Jan-22,1130918
Africa,Feb-22,446100
Africa,Mar-22,225752
Africa,Apr-22,114022
Africa,May-22,212649
Africa,Jun-22,178315
Africa,Jul-22,195306
Africa,Aug-22,67092
Africa,Sep-22,31668
Africa,Oct-22,29001
Africa,Nov-22,44218
Africa,Dec-22,40832
Africa,Jan-23,32442
Africa,Feb-23,1335
Albania,Feb-20,0
Albania,Mar-20,243
Albania,Apr-20,530
Albania,May-20,364
Albania,Jun-20,1398
Albania,Jul-20,2741
Albania,Aug-20,4237
Albania,Sep-20,4136
Albania,Oct-20,7226
Albania,Nov-20,17307
Albania,Dec-20,20134
Albania,Jan-21,19811
Albania,Feb-21,29040
Albania,Mar-21,17990
Albania,Apr-21,5928
Albania,May-21,1230
Albania,Jun-21,206
Albania,Jul-21,560
Albania,Aug-21,13306
Albania,Sep-21,23744
Albania,Oct-21,15169
Albania,Nov-21,14645
Albania,Dec-21,10279
Albania,Jan-22,48319
Albania,Feb-22,13020
Albania,Mar-22,2114
Albania,Apr-22,1430
Albania,May-22,994
Albania,Jun-22,4750
Albania,Jul-22,31246
Albania,Aug-22,17255
Albania,Sep-22,2869
Albania,Oct-22,745
Albania,Nov-22,377
Albania,Dec-22,463
Albania,Jan-23,361
Albania,Feb-23,10
Algeria,Feb-20,1
Algeria,Mar-20,715
Algeria,Apr-20,3290
Algeria,May-20,5388
Algeria,Jun-20,4513
Algeria,Jul-20,16487
Algeria,Aug-20,14100
Algeria,Sep-20,7036
Algeria,Oct-20,6412
Algeria,Nov-20,25257
Algeria,Dec-20,16411
Algeria,Jan-21,7729
Algeria,Feb-21,5753
Algeria,Mar-21,4100
Algeria,Apr-21,4916
Algeria,May-21,6805
Algeria,Jun-21,10713
Algeria,Jul-21,31766
Algeria,Aug-21,24688
Algeria,Sep-21,7279
Algeria,Oct-21,3093
Algeria,Nov-21,4079
Algeria,Dec-21,7901
Algeria,Jan-22,33685
Algeria,Feb-22,12819
Algeria,Mar-22,735
Algeria,Apr-22,109
Algeria,May-22,104
Algeria,Jun-22,203
Algeria,Jul-22,1367
Algeria,Aug-22,2850
Algeria,Sep-22,369
Algeria,Oct-22,165
Algeria,Nov-22,252
Algeria,Dec-22,138
Algeria,Jan-23,150
Algeria,Feb-23,7
Andorra,Mar-20,376
Andorra,Apr-20,369
Andorra,May-20,19
Andorra,Jun-20,91
Andorra,Jul-20,70
Andorra,Aug-20,251
Andorra,Sep-20,874
Andorra,Oct-20,2706
Andorra,Nov-20,1989
Andorra,Dec-20,1304
Andorra,Jan-21,1888
Andorra,Feb-21,929
Andorra,Mar-21,1144
Andorra,Apr-21,1222
Andorra,May-21,495
Andorra,Jun-21,184
Andorra,Jul-21,767
Andorra,Aug-21,355
Andorra,Sep-21,189
Andorra,Oct-21,294
Andorra,Nov-21,1599
Andorra,Dec-21,6625
Andorra,Jan-22,12218
Andorra,Feb-22,2041
Andorra,Mar-22,2025
Andorra,Apr-22,1325
Andorra,May-22,1545
Andorra,Jun-22,880
Andorra,Jul-22,1734
Andorra,Aug-22,519
Andorra,Sep-22,200
Andorra,Oct-22,308
Andorra,Nov-22,684
Andorra,Dec-22,532
Andorra,Jan-23,88
Andorra,Feb-23,0
Angola,Mar-20,7
Angola,Apr-20,20
Angola,May-20,59
Angola,Jun-20,198
Angola,Jul-20,864
Angola,Aug-20,1506
Angola,Sep-20,2318
Angola,Oct-20,5833
Angola,Nov-20,4334
Angola,Dec-20,2414
Angola,Jan-21,2243
Angola,Feb-21,1011
Angola,Mar-21,1504
Angola,Apr-21,4341
Angola,May-21,7899
Angola,Jun-21,4298
Angola,Jul-21,3928
Angola,Aug-21,4767
Angola,Sep-21,9039
Angola,Oct-21,7850
Angola,Nov-21,735
Angola,Dec-21,16425
Angola,Jan-22,16523
Angola,Feb-22,625
Angola,Mar-22,428
Angola,Apr-22,118
Angola,May-22,474
Angola,Jun-22,1559
Angola,Jul-22,981
Angola,Aug-22,335
Angola,Sep-22,495
Angola,Oct-22,0
Angola,Nov-22,1545
Angola,Dec-22,419
Angola,Jan-23,89
Angola,Feb-23,0
Anguilla,Mar-20,2
Anguilla,Apr-20,1
Anguilla,May-20,0
Anguilla,Jun-20,0
Anguilla,Jul-20,0
Anguilla,Aug-20,0
Anguilla,Sep-20,0
Anguilla,Oct-20,0
Anguilla,Nov-20,3
Anguilla,Dec-20,7
Anguilla,Jan-21,3
Anguilla,Feb-21,2
Anguilla,Mar-21,7
Anguilla,Apr-21,68
Anguilla,May-21,16
Anguilla,Jun-21,0
Anguilla,Jul-21,4
Anguilla,Aug-21,104
Anguilla,Sep-21,192
Anguilla,Oct-21,535
Anguilla,Nov-21,442
Anguilla,Dec-21,288
Anguilla,Jan-22,650
Anguilla,Feb-22,231
Anguilla,Mar-22,145
